"","State","X2017.2016","X2015.2016","X2014.2015","X2012.2013","X2011.2012","X2010.2011","X2009.2010","X2008.2009","X2007.2008","X2006.2007","X2005.2006","X2004.2005","X2003.2004","X2002.2003","X2001.2002","X2000.2001","X1999.2000","X1998.1999","X1997.1998","X1996.1997","X1995.1996","X1994.1995","X1993.1994","X1992.1993","X1991.1992","X1990.1991"
"1","AL","49,675","47,144","44,936","45,053","46,505","46,320","45,953","48,275","50,395","48,141","46,500","47,198","48,713","50,577","50,090","49,683","52,034","54,083","51,729","48,044","44,470","43,136","43,321","43,170","43,587","42,729"
"2","AK","74,791","77,534","73,906","66,259","65,405","63,954","67,676","71,794","73,844","71,709","69,544","70,979","70,444","70,683","75,863","77,526","75,645","76,131","74,865","77,848","79,606","75,640","73,180","71,854","71,637","71,584"
"3","AZ","59,726","56,194","52,555","51,827","51,714","52,973","52,395","52,965","54,751","56,411","56,897","56,985","56,020","54,646","56,781","58,029","55,694","55,253","52,962","49,697","49,415","50,401","51,229","50,765","52,260","53,705"
"4","AR","47,862","45,588","45,421","41,905","43,424","44,295","42,640","43,514","46,764","46,756","45,645","45,818","44,133","43,505","45,263","44,331","43,099","42,753","40,834","41,150","41,847","41,656","40,272","39,805","41,132","41,407"
"5","CA","68,914","66,956","64,268","60,813","59,641","59,726","62,689","64,681","65,563","66,737","66,272","64,578","64,950","65,342","65,207","66,212","65,609","63,046","61,171","60,608","59,938","58,637","57,527","58,511","59,598","59,989"
"6","CO","73,128","70,495","66,034","64,018","62,641","65,953","65,776","66,806","71,009","70,172","65,680","64,838","66,460","66,355","67,274","68,710","69,982","70,671","68,143","64,980","64,568","63,652","59,927","56,781","55,615","55,752"
"7","CT","75,168","76,486","74,068","70,081","70,087","72,907","73,995","74,049","74,920","76,037","73,785","71,597","72,558","73,192","73,495","72,830","73,143","72,385","68,649","66,467","65,109","65,959","66,816","68,168","72,168","72,550"
"8","DE","60,806","59,527","59,689","53,711","56,043","60,958","60,905","58,777","61,282","64,303","64,189","63,487","63,999","66,666","68,343","70,369","70,355","65,654","64,116","63,547","58,658","57,415","59,639","60,844","59,314","56,772"
"9","DC","77,945","72,505","71,634","66,871","65,070","62,246","63,738","62,154","61,816","59,634","57,848","56,570","58,353","56,783","55,262","57,991","57,957","53,733","49,533","49,282","49,579","49,343","47,578","48,843","52,274","51,284"
"10","FL","52,979","51,398","49,170","49,875","49,273","49,459","50,892","51,729","52,735","54,971","54,881","53,413","52,400","52,012","51,253","53,007","54,173","52,750","51,100","48,702","47,742","47,865","47,948","47,398","47,468","48,322"
"11","GA","55,847","53,604","51,945","50,737","50,844","49,962","49,477","51,199","55,204","58,893","58,963","55,552","55,008","57,685","58,882","59,452","58,999","58,233","57,145","53,364","52,678","53,136","52,338","51,249","48,676","49,086"
"12","HI","73,630","70,218","70,285","62,453","62,338","65,790","65,498","66,975","73,046","74,788","74,337","74,071","71,209","66,943","65,238","69,710","69,631","63,611","62,037","63,866","66,928","68,999","70,401","71,896","68,941","68,278"
"13","ID","58,994","55,597","54,401","52,911","51,549","52,426","53,213","53,848","56,206","57,307","55,954","56,646","57,158","54,072","52,305","53,382","53,262","54,062","53,160","52,602","53,264","52,052","51,847","49,763","46,773","46,064"
"14","IL","63,657","62,607","59,714","57,813","55,325","56,233","58,825","60,666","61,504","60,773","60,108","60,420","60,134","59,343","61,220","64,918","67,066","66,730","64,076","62,401","61,368","59,283","56,303","54,614","55,153","57,741"
